Event_Name;Expressions_Used
Astronomical Low Tide;astronomicallowtide|blowouttide|blowouttides
Avalanche;avalanche
Blizzard;blizzard|blizzardsummary|icestormblizzard
Coastal Flood;coastalfloodingerosion|coastalerosion|beacherosion|coastalflood|coastalflooding|coastalflood|coastalfloodingerosion|coastalflood|coastalstorm|coastalstorm|cstlfloodingerosion|erosioncstlflood|oastalflood|tidalflooding
Cold/Wind Chill;bitterwindchill|bitterwindchilltemperatures|cold|coldtemperature|coldtemperatures|coldweather|coldwindchilltemperatures|coldwindchill|coolspell|extendedcold|hyperthermiaexposure|hypothermiaexposure|prolongcold|unseasonablecold|unseasonablycold|unseasonablycool|unseasonablycool&wet|unseasonallowtemp|unusuallycold|windchill
Debris Flow;landslide|landslides|landslump|mudslide|mudslide|mudslidelandslide|mudslides|rockslide
Dense Fog;densefog|fog|patchydensefog
Dense Smoke;densesmoke|smoke
Drought;abnormallydry|driestmonth|drought|dry|dryconditions|dryspell|dryweather|dryness|excessiveheatdrought|excessivelydry|mildanddrypattern|recorddrymonth|recorddryness|recordlowrainfall|snowdrought|unseasonablydry|verydry
Dust Devil;dustdevel|dustdevil
Dust Storm;blowingdust|duststorm
Excessive Heat;excessiveheat|recordheat|recordhigh|recordtemperature|recordtemperatures|recordwarmrecordwarmtemps.|recordwarmth
Extreme Cold/Wind Chill;excessivecold|extremecold|extremecoldwindchill|extremewindchill|extremewindchilltemperatures|extremewindchill|recordcold|recordcold|recordcool
Flash Flood;flashflood|flashfloodflood|flashflooding|floodflashflood|floodflashflood|lashflood
Flood;dambreak|flood|floodstrongwind|icejam|icejamflood|minorflooding|remnantsoffloyd|riverflood|riverflooding|snowmeltflooding|streetflooding|urbanflood|urbanflooding|urbansmallstrmfldg|urbansmlstreamfld|urbansmlstreamfldg|urbanstreetflooding
Frost/Freeze;agriculturalfreeze|blackice|coldandfrost|damagingfreeze|earlyfrost|firstfrost|freeze|frost|frostfreeze|glaze|hardfreeze|latefreeze
Funnel Cloud;funnelcloud|funnelclouds
Freezing Fog;freezingfog|icefog
Hail;hail|gustywindhail|hail(0.75)|hailwind|lateseasonhail|nonseverehail|smallhail|tstmwindhail
Heat;abnormalwarmth|hotanddry|hotspell|heatwave|heat|hotweather|prolongwarmth|unseasonablyhot|unseasonablywarm|unseasonablywarm&wet|unseasonablywarmanddry|unseasonablywarmyear|unseasonablywarmwet|unusualwarmth|unusualrecordwarmth|unusuallywarm|verywarm|warmweather
Heavy Rain;downburst|excessiverain|excessiverainfall|extremelywet|gustywindhvyrain|gustywindrain|heavyprecipitation|heavyrain|heavyrainandwind|heavyraineffects|heavyrainhighsurf|heavyrainwind|heavyrainfall|locallyheavyrain|prolongedrain|rain|rain(heavy)|raindamage|recordprecipitation|recordrainfall|torrentialrainfall|tstmheavyrain|unseasonablywet|unseasonalrain|wetmonth|wetyear
Heavy Snow;accumulatedsnowfall|excessivesnow|heavysnow|heavysnowshower|heavysnowsqualls|recordmaysnow|recordsnow|recordsnowfall|recordwintersnow|snowaccumulation|snow|snowadvisory|snowshowers|snowsquall|snowsqualls|snowblowingsnow
High Surf;highsurfadvisory|hazardoussurf|heavysurf|heavyseas|heavysurfandwind|heavysurfhighsurf|highswells|highseas|highsurf|highsurfadvisories|highsurfadvisory|highswells|highwater|roughseas|roughsurf|windandwave
High Wind;highwind|highwind(g40)|highwinds|stmwind|stmwind(g45)
Hurricane (Typhoon);hurricane|hurricaneedouard|hurricanetyphoon|typhoon
Ice Storm;icestorm
Lake-Effect Snow;lakeeffectsnow|lakeeffectsnow
Lakeshore Flood;lakeshoreflood
Lightning;ightning|lightning|tstmwindandlightning
Marine Hail;marinehail
Marine High Wind;marinehighwind
Marine Strong Wind;marinestrongwind
Marine Thunderstorm Wind;marinethunderstormwind|marinetstmwind
Rip Current;ripcurrent|ripcurrents
Seiche;seiche
Sleet;sleet|sleetstorm|sleetfreezingrain|freezingrainsleet
Storm Surge/Tide;roguewave|stormsurge|stormsurgetide
Strong Wind;ind|gradientwind|gustylakewind|gustywind|gustywinds|redflagcriteria|redflagfirewx|strongwind|strongwindgust|strongwinds|wnd|wind|windadvisory|whirlwind|winddamage|windgusts|winds
Thunderstorm Wind;drymicroburst|gustythunderstormwind|gustythunderstormwinds|heatburst|microburst|severethunderstorm|severethunderstorms|thunderstorm|thunderstormwind|thunderstormwind(g40)|thunderstorms|tstm|tstmwind|tstmwind(g45)|tstmwind(41)|tstmwind(g35)|tstmwind(g40)|tstmwind(g45)|tstmwind40|tstmwind45|tstmwindg45|tstmwinds|tstmwnd|wetmicoburst|wetmicroburst
Tornado;landspout|tornado|tornadodebris
Tropical Depression;tropicaldepression
Tropical Storm;tropicalstorm
Tsunami;tsunami
Volcanic Ash;volcanicash|volcanicashplume|volcanicashfall|volcaniceruption
Waterspout;aterspout|waterspout|waterspouts
Wildfire;brushfire|wildforestfire|wildfire
Winter Storm;winterstorm
Winter Weather;blowingsnow|driftingsnow|fallingsnowice|firstsnow|freezingdrizzle|freezingrain|freezingspray|ice|iceonroad|icepellets|iceroads|icesnow|icyroads|lateseasonsnowfall|coldandsnow|lateseasonsnow|lateseasonsnowfall|latesnow|lightfreezingrain|lightsnow|lightsnowflurries|lightsnowfreezingprecip|lightsnowfall|mixedprecip|mixedprecipitation|moderatesnow|moderatesnowfall|patchyice|rainsnow|seasonalsnowfall|snowandice|snowandsleet|snowfreezingrain|snowice|snowsleet|thundersnowshower|winterweather|winterweathermix|winterweathermix|winterymix|wintrymixwintermix
